CVE_ID,Published_Date,Last_Modified,Severity,CVSS_Score,Description
CVE-1999-0095,1988-10-01T04:00:00.000,2026-06-16T21:47:34.460,,,"The debug command in Sendmail is enabled, allowing attackers to execute commands as root."
CVE-1999-0082,1988-11-11T05:00:00.000,2026-06-16T21:47:32.300,,,CWD ~root command in ftpd allows root access.
CVE-1999-1471,1989-01-01T05:00:00.000,2026-06-16T21:50:30.747,,,Buffer overflow in passwd in BSD based operating systems 4.3 and earlier allows local users to gain root privileges by specifying a long shell or GECOS field.
CVE-1999-1122,1989-07-26T04:00:00.000,2026-06-16T21:49:46.027,,,Vulnerability in restore in SunOS 4.0.3 and earlier allows local users to gain privileges.
CVE-1999-1467,1989-10-26T04:00:00.000,2026-06-16T21:50:30.147,,,"Vulnerability in rcp on SunOS 4.0.x allows remote attackers from trusted hosts to execute arbitrary commands as root, possibly related to the configuration of the nobody user."
CVE-1999-1506,1990-01-29T05:00:00.000,2026-06-16T21:50:35.230,,,"Vulnerability in SMI Sendmail 4.0 and earlier, on SunOS up to 4.0.3, allows remote attackers to access user bin."
CVE-1999-0084,1990-05-01T04:00:00.000,2026-06-16T21:47:32.553,HIGH,8.4,Certain NFS servers allow users to use mknod to gain privileges by creating a writable kmem device and setting the UID to 0.
CVE-2000-0388,1990-05-09T04:00:00.000,2026-06-16T21:51:36.727,,,Buffer overflow in FreeBSD libmytinfo library allows local users to execute commands via a long TERMCAP environmental variable.
CVE-1999-0209,1990-08-14T04:00:00.000,2026-06-16T21:47:54.977,,,The SunView (SunTools) selection_svc facility allows remote users to read files.
CVE-1999-1198,1990-10-03T04:00:00.000,2026-06-16T21:49:55.630,,,"BuildDisk program on NeXT systems before 2.0 does not prompt users for the root password, which allows local users to gain root privileges."
CVE-1999-1391,1990-10-03T04:00:00.000,2026-06-16T21:50:20.377,,,Vulnerability in NeXT 1.0a and 1.0 with publicly accessible printers allows local users to gain privileges via a combination of the npd program and weak directory permissions.
CVE-1999-1392,1990-10-03T04:00:00.000,2026-06-16T21:50:20.500,,,Vulnerability in restore0.9 installation script in NeXT 1.0a and 1.0 allows local users to gain root privileges.
CVE-1999-1057,1990-10-25T04:00:00.000,2026-06-16T21:49:36.917,,,VMS 4.0 through 5.3 allows local users to gain privileges via the ANALYZE/PROCESS_DUMP dcl command.
CVE-1999-1554,1990-10-31T05:00:00.000,2026-06-16T21:50:42.350,,,"/usr/sbin/Mail on SGI IRIX 3.3 and 3.3.1 does not properly set the group ID to the group ID of the user who started Mail, which allows local users to read the mail of other users."
CVE-1999-1197,1990-12-20T05:00:00.000,2026-06-16T21:49:55.497,,,"TIOCCONS in SunOS 4.1.1 does not properly check the permissions of a user who tries to redirect console output and input, which could allow a local user to gain privileges."
CVE-1999-1115,1990-12-31T05:00:00.000,2026-06-16T21:49:45.133,,,"Vulnerability in the /etc/suid_exec program in HP Apollo Domain/OS sr10.2 and sr10.3 beta, related to the Korn Shell (ksh)."
CVE-1999-1258,1991-01-15T05:00:00.000,2026-06-16T21:50:03.313,,,"rpc.pwdauthd in SunOS 4.1.1 and earlier does not properly prevent remote access to the daemon, which allows remote attackers to obtain sensitive system information."
CVE-1999-1438,1991-02-22T05:00:00.000,2026-06-16T21:50:26.483,,,Vulnerability in /bin/mail in SunOS 4.1.1 and earlier allows local users to gain root privileges via certain command line arguments.
CVE-1999-1211,1991-03-27T05:00:00.000,2026-06-16T21:49:57.387,,,Vulnerability in in.telnetd in SunOS 4.1.1 and earlier allows local users to gain root privileges.
CVE-1999-1212,1991-03-27T05:00:00.000,2026-06-16T21:49:57.500,,,Vulnerability in in.rlogind in SunOS 4.0.3 and 4.0.3c allows local users to gain root privileges.
CVE-1999-1194,1991-05-01T04:00:00.000,2026-06-16T21:49:55.120,,,"chroot in Digital Ultrix 4.1 and 4.0 is insecurely installed, which allows local users to gain privileges."
CVE-1999-1193,1991-05-14T04:00:00.000,2026-06-16T21:49:54.997,,,"The ""me"" user in NeXT NeXTstep 2.1 and earlier has wheel group privileges, which could allow the me user to use the su command to become root."
CVE-1999-1123,1991-05-20T04:00:00.000,2026-06-16T21:49:46.150,,,The installation of Sun Source (sunsrc) tapes allows local users to gain root privileges via setuid root programs (1) makeinstall or (2) winstall.
CVE-1999-1034,1991-05-23T04:00:00.000,2026-06-16T21:49:34.080,,,Vulnerability in login in AT&T System V Release 4 allows local users to gain privileges.
CVE-1999-1415,1991-08-23T04:00:00.000,2026-06-16T21:50:23.530,,,Vulnerability in /usr/bin/mail in DEC ULTRIX before 4.2 allows local users to gain privileges.
CVE-1999-1090,1991-09-10T04:00:00.000,2026-06-16T21:49:42.053,,,"The default configuration of NCSA Telnet package for Macintosh and PC enables FTP, even though it does not include an ""ftp=yes"" line, which allows remote attackers to read and modify arbitrary files."
CVE-1999-0498,1991-09-27T04:00:00.000,2026-06-16T21:48:31.613,,,"TFTP is not running in a restricted directory, allowing a remote attacker to access sensitive information such as password files."
CVE-1999-1468,1991-10-22T04:00:00.000,2026-06-16T21:50:30.270,,,"rdist in various UNIX systems uses popen to execute sendmail, which allows local users to gain root privileges by modifying the IFS (Internal Field Separator) variable."
CVE-1999-0167,1991-12-06T05:00:00.000,2026-06-16T21:47:44.670,,,"In SunOS, NFS file handles could be guessed, giving unauthorized access to the exported file system."
CVE-1999-1493,1991-12-18T05:00:00.000,2026-06-16T21:50:33.560,,,"Vulnerability in crp in Hewlett Packard Apollo Domain OS SR10 through SR10.3 allows remote attackers to gain root privileges via insecure system calls, (1) pad_$dm_cmd and (2) pad_$def_pfk()."
CVE-1999-1032,1991-12-31T05:00:00.000,2026-06-16T21:49:33.827,,,Vulnerability in LAT/Telnet Gateway (lattelnet) on Ultrix 4.1 and 4.2 allows attackers to gain root privileges.
CVE-1999-1059,1992-02-25T05:00:00.000,2026-06-16T21:49:37.173,,,Vulnerability in rexec daemon (rexecd) in AT&T TCP/IP 4.0 for various SVR4 systems allows remote attackers to execute arbitrary commands.
CVE-1999-0627,1992-03-01T05:00:00.000,2026-06-16T21:48:45.213,,,"The rexd service is running, which uses weak authentication that can allow an attacker to execute commands."
CVE-1999-1121,1992-03-19T05:00:00.000,2026-06-16T21:49:45.900,,,The default configuration for UUCP in AIX before 3.2 allows local users to gain root privileges.
CVE-1999-0117,1992-03-31T05:00:00.000,2026-06-16T21:47:37.490,,,AIX passwd allows local users to gain root access.
CVE-1999-1119,1992-04-27T04:00:00.000,2026-06-16T21:49:45.643,,,"FTP installation script anon.ftp in AIX insecurely configures anonymous FTP, which allows remote attackers to execute arbitrary commands."
CVE-1999-1142,1992-05-27T04:00:00.000,2026-06-16T21:49:48.683,,,"SunOS 4.1.2 and earlier allows local users to gain privileges via ""LD_*"" environmental variables to certain dynamically linked setuid or setgid programs such as (1) login, (2) su, or (3) sendmail, that change the real and effective user ids to the same user."
CVE-1999-0168,1992-06-04T04:00:00.000,2026-06-16T21:47:44.800,,,"The portmapper may act as a proxy and redirect service requests from an attacker, making the request appear to come from the local host, possibly bypassing authentication that would otherwise have taken place.  For example, NFS file systems could be mounted through the portmapper despite export restrictions."
CVE-1999-0214,1992-07-21T04:00:00.000,2026-06-16T21:47:55.663,,,Denial of service by sending forged ICMP unreachable packets.
CVE-1999-1396,1992-07-21T04:00:00.000,2026-06-16T21:50:21.053,,,Vulnerability in integer multiplication emulation code on SPARC architectures for SunOS 4.1 through 4.1.2 allows local users to gain root access or cause a denial of service (crash).
CVE-1999-1395,1992-11-17T05:00:00.000,2026-06-16T21:50:20.887,,,Vulnerability in Monitor utility (SYS$SHARE:SPISHR.EXE) in VMS 5.0 through 5.4-2 allows local users to gain privileges.
CVE-1999-1306,1992-12-10T05:00:00.000,2026-06-16T21:50:09.570,,,"Cisco IOS 9.1 and earlier does not properly handle extended IP access lists when the IP route cache is enabled and the ""established"" keyword is set, which could allow attackers to bypass filters."
CVE-1999-1466,1992-12-10T05:00:00.000,2026-06-16T21:50:30.017,,,"Vulnerability in Cisco routers versions 8.2 through 9.1 allows remote attackers to bypass access control lists when extended IP access lists are used on certain interfaces, the IP route cache is enabled, and the access list uses the ""established"" keyword."
CVE-1999-1021,1992-12-30T05:00:00.000,2026-06-16T21:49:32.350,,,"NFS on SunOS 4.1 through 4.1.2 ignores the high order 16 bits in a 32 bit UID, which allows a local user to gain root access if the lower 16 bits are set to 0, as fixed by the NFS jumbo patch upgrade."
CVE-1999-1056,1992-12-31T05:00:00.000,2023-11-07T01:55:06.290,,,Rejected reason: DO NOT USE THIS CANDIDATE NUMBER.  ConsultIDs: CVE-1999-1395.  Reason: This candidate is a duplicate of CVE-1999-1395.  Notes: All CVE users should reference CVE-1999-1395 instead of this candidate.  All references and descriptions in this candidate have been removed to prevent accidental usage
CVE-1999-0312,1993-01-13T05:00:00.000,2026-06-16T21:48:07.757,,,HP ypbind allows attackers with root privileges to modify NIS data.
CVE-1999-1507,1993-02-03T05:00:00.000,2026-06-16T21:50:35.357,,,Sun SunOS 4.1 through 4.1.3 allows local attackers to gain root access via insecure permissions on files and directories such as crash.
CVE-1999-1218,1993-02-18T05:00:00.000,2026-06-16T21:49:58.233,,,Vulnerability in finger in Commodore Amiga UNIX 2.1p2a and earlier allows local users to read arbitrary files.
CVE-1999-1312,1993-02-24T05:00:00.000,2026-06-16T21:50:10.310,,,"Vulnerability in DEC OpenVMS VAX 5.5-2 through 5.0, and OpenVMS AXP 1.0, allows local users to gain system privileges."
CVE-1999-1216,1993-04-22T04:00:00.000,2026-06-16T21:49:57.987,,,"Cisco routers 9.17 and earlier allow remote attackers to bypass security restrictions via certain IP source routed packets that should normally be denied using the ""no ip source-route"" command."
CVE-1999-1162,1993-05-24T04:00:00.000,2026-06-16T21:49:51.167,,,Vulnerability in passwd in SCO UNIX 4.0 and earlier allows attackers to cause a denial of service by preventing users from being able to log into the system.
CVE-1999-0124,1993-08-09T04:00:00.000,2026-06-16T21:47:38.420,,,Vulnerabilities in UMN gopher and gopher+ versions 1.12 and 2.0x allow an intruder to read any files that can be accessed by the gopher daemon.
CVE-1999-1215,1993-09-16T04:00:00.000,2026-06-16T21:49:57.867,,,"LOGIN.EXE program in Novell Netware 4.0 and 4.01 temporarily writes user name and password information to disk, which could allow local users to gain privileges."
CVE-1999-1138,1993-09-17T04:00:00.000,2026-06-16T21:49:48.087,,,"SCO UNIX System V/386 Release 3.2, and other SCO products, installs the home directories (1) /tmp for the dos user, and (2) /usr/tmp for the asg user, which allows other users to gain access to those accounts since /tmp and /usr/tmp are world-writable."
CVE-1999-1318,1993-09-17T04:00:00.000,2026-06-16T21:50:11.110,,,"/usr/5bin/su in SunOS 4.1.3 and earlier uses a search path that includes the current working directory (.), which allows local users to gain privileges via Trojan horse programs."
CVE-1999-0145,1993-09-30T04:00:00.000,2026-06-16T21:47:41.620,,,"Sendmail WIZ command enabled, allowing root access."
CVE-1999-1137,1993-10-01T04:00:00.000,2026-06-16T21:49:47.960,,,"The permissions for the /dev/audio device on Solaris 2.2 and earlier, and SunOS 4.1.x, allow any local user to read from the device, which could be used by an attacker to monitor conversations happening near a machine that has a microphone."
CVE-1999-0334,1993-12-16T05:00:00.000,2026-06-16T21:48:10.570,,,"In Solaris 2.2 and 2.3, when fsck fails on startup, it allows a local user with physical access to obtain root access."
CVE-1999-0181,1994-01-01T05:00:00.000,2026-06-16T21:47:46.403,,,"The wall daemon can be used for denial of service, social engineering attacks, or to execute remote commands."
CVE-1999-1242,1994-02-07T05:00:00.000,2026-06-16T21:50:01.277,,,Vulnerability in subnetconfig in HP-UX 9.01 and 9.0 allows local users to gain privileges.
CVE-1999-0211,1994-02-14T05:00:00.000,2026-06-16T21:47:55.270,,,Extra long export lists over 256 characters in some mount daemons allows NFS directories to be mounted by anyone.
CVE-1999-0338,1994-02-24T05:00:00.000,2026-06-16T21:48:11.000,,,AIX Licensed Program Product performance tools allow local users to gain root access.
CVE-1999-0120,1994-03-21T05:00:00.000,2026-06-16T21:47:37.890,,,Sun/Solaris utmp file allows local users to gain root access if it is writable by users other than root.
CVE-1999-1135,1994-04-20T04:00:00.000,2026-06-16T21:49:47.707,,,"Vulnerability in VUE 3.0 in HP 9.x allows local users to gain root privileges, as fixed by PHSS_4994 and PHSS_5438."
